scenario,seed,sensor,alpha,target_expert,drift_reliability,drift_modulation_factor,coord_threshold_v75,coord_threshold_v73,single_action,reliability_spike,reliability_drift,reliability_flat,reliability_dropout,coef_v75_spike,coef_v75_drift,coef_v75_flat,coef_v75_dropout
high,123,sensor_501_multivar_labeled,0.6,drift,0.3073078344419808,0.7229231337767923,0.5499999999999999,0.5499999999999999,flat_std_w18,0.7781397874572091,0.3073078344419808,0.1704672897196261,0.7746231263289458,3.099128072354384,2.700952996181656,-0.0727782190848541,2.423652574288321
high,123,sensor_502_multivar_labeled,0.6,drift,0.1981495759444873,0.6792598303777949,0.6,0.6,z_w21_t3,0.6486704166120583,0.1981495759444873,0.631906650917325,0.8780633352838804,2.522766954618453,-1.3459109204781667,2.7192211610966264,-3.056897768499494
high,123,sensor_505_multivar_labeled,0.6,drift,0.4095008232683241,0.7638003293073297,0.825,0.825,flat_std_w18,1.0,0.4095008232683241,0.1891268533772652,0.7971324036976709,4.022078789611777,2.090003324962652,4.5965942571486575,-0.1018594847034686
high,123,sensor_506_multivar_labeled,0.6,drift,0.4292898177355553,0.7717159270942221,0.825,0.85,low_range_w24,0.756291046642847,0.4292898177355553,0.1847604084838963,0.94418686566037,2.676589009394251,2.045194873133731,2.7054552300480075,-0.3223158338561009
high,123,sensor_507_multivar_labeled,0.6,drift,0.1860150375939849,0.674406015037594,0.825,0.825,flat_std_w18,0.7138317884479348,0.1860150375939849,0.771456663395444,0.8394854997997263,2.7520438041894324,-0.0485949208404443,3.695966747698455,-3.463194308973097
high,123,sensor_508_multivar_labeled,0.6,drift,0.1846867749419953,0.6738747099767981,0.825,0.825,flat_std_w18,0.8777034935546204,0.1846867749419953,0.1823665893271462,0.7779576075866815,3.467106720781236,1.768488171327016,3.634137345938073,-1.2643194365719337
high,123,sensor_509_multivar_labeled,0.6,drift,0.4143018389439815,0.7657207355775926,0.725,0.725,flat_std_w36,0.8635889596020376,0.4143018389439815,0.4065837845897559,0.1875729969633263,3.8686069455872536,0.5918232697361521,2.976420707040218,0.3548979196543053
high,123,sensor_510_multivar_labeled,0.6,drift,0.18,0.6719999999999999,0.825,0.825,flat_std_w36,0.857651796992691,0.18,0.310215368404531,0.8378458307619787,4.010380447731272,1.5883455329184129,3.511976414324513,-0.8921425830764929
high,123,sensor_511_multivar_labeled,0.6,drift,0.1823355506282335,0.6729342202512933,0.775,0.775,flat_std_w18,0.7888386341229929,0.1823355506282335,0.6264818818320643,0.8816888687645535,3.628415219932573,0.0084057653677444,3.426387127593474,1.593506518867522
high,321,sensor_501_multivar_labeled,0.6,drift,0.4356301885172938,0.7742520754069175,0.575,0.575,flat_std_w18,0.7779031267445076,0.4356301885172938,0.1841788478073946,0.6693196277934914,3.7153923269302704,-1.076505276481251,5.891337235889225,-5.163612578921017
high,321,sensor_502_multivar_labeled,0.6,drift,0.1890516576715497,0.6756206630686199,0.7,0.7,flat_std_w18,0.8473148597373312,0.1890516576715497,0.8575236729167494,0.197378565921357,3.2353757173903555,-0.9554672000807312,1.572727161668447,0.9558392749340384
high,321,sensor_505_multivar_labeled,0.6,drift,0.1839272175890826,0.6735708870356331,0.75,0.75,flat_std_w18,0.8046523763199153,0.1839272175890826,0.8523841182697973,0.1890826383623957,2.4311133344206146,0.8002107327724169,2.665078889275492,0.9669656058941312
high,321,sensor_506_multivar_labeled,0.6,drift,0.396277972023854,0.7585111888095416,0.7,0.7,flat_std_w18,0.8623959307947806,0.396277972023854,0.1890023566378633,0.965210155788338,2.894438664550313,0.1211178401268344,3.1125563473751336,-0.1097181071274303
