scenario,method,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,event_detection_rate_mean,event_detection_rate_std,mean_detection_delay_mean,mean_detection_delay_std,early_detection_rate_mean,early_detection_rate_std
high,majority,0.7172031085529896,0.24993140019534066,0.21220816539835385,0.17800486810554486,0.2815019510881363,0.16924324914237107,0.012862794331559044,0.012863128291287149,0.5996726855333974,0.0851067903893803,0.30722288979999907,0.15688072811164264,0.5374962046487404,0.2091209649626372,11.550921266925627,41.20179983176028,0.5170991441961142,0.21401613515617965
high,or_all,0.41515118068248436,0.20702105109889485,0.398127027151384,0.23802781642181028,0.35179701223047216,0.1482977878405793,0.10958232341552729,0.05181095167620606,0.6442723518679284,0.1115519330726535,0.2648283472872776,0.1648883500239927,0.8231231178965702,0.11875811094643941,2.3285004597092183,5.60240757157089,0.8094439114198135,0.130165951525201
high,single_agent_rl_refactored,0.5864794935165033,0.2942772677730466,0.3053824716217222,0.25706322266970383,0.3607080270355049,0.25084497777382625,0.03248277737618034,0.023647850360360777,0.6364498471227709,0.12496892175628863,0.3332231542341154,0.24930109514478765,0.10319423005898123,0.14469543843196808,32.2846517823262,43.491548350115224,0.08947657074903827,0.14043435023112755
high,v73_confidence_hybrid_reference,0.6169730269721715,0.22379241091682725,0.4132048700951485,0.25539461426891963,0.424600548228369,0.17305133783930549,0.056511509330988564,0.07135270450313545,0.6783466803820799,0.11287176581548727,0.3929442057697973,0.17376082555785424,0.7488884935043676,0.13707127688368229,3.884833410591948,6.355258539179906,0.730676088149383,0.14995297065165508
high,v75_selective_coordinator,0.6248920637220154,0.2390430074599423,0.3694389380298276,0.27899261680127785,0.37221678333368124,0.2069869170191439,0.05562848235343085,0.08912299412105354,0.6569052278381983,0.12023771472437293,0.3536335022631407,0.18893466080061475,0.7329129627537063,0.16384454090435913,4.560239299279982,7.150238828700584,0.7115336223477285,0.18590358285443062
high,v75_selective_hybrid,0.6138590332543937,0.22290139505091686,0.4128328690736662,0.25858783905036004,0.42024179531794964,0.1727926936589978,0.05986304032098431,0.08772265650886311,0.676484914376341,0.11226693928378625,0.3891147179784552,0.1719495965458758,0.7340825533969813,0.16367674844218252,4.114843189966159,6.587365704710436,0.7158701480419966,0.17874509851763629
low,majority,0.28295255505015293,0.22331488071692354,0.22934491471097307,0.19959910161119124,0.20814679014811108,0.15494552729464003,0.02472539305530223,0.01661885604212515,0.6023097608278354,0.09990398440169627,0.19965139985334715,0.1621487257491865,0.3918646875846266,0.22846459830883126,5.323459196350876,8.766409765980425,0.33805346382289686,0.2355891280639233
low,or_all,0.1233206992262056,0.08315942211655186,0.39260085408692175,0.2486950367200828,0.16382099299150757,0.09759806041918284,0.11521046359890932,0.04776346922099309,0.6386951952440062,0.11558123431035418,0.14197530340292924,0.10769366729194249,0.7594897864280417,0.1662464941667881,3.5584666231746787,5.138086912641781,0.6710625554375595,0.23752578967057353
low,single_agent_rl_refactored,0.21038349333657042,0.19502019236949755,0.27738208538166415,0.23531036136020156,0.15590417578772703,0.11115487173610335,0.07485715386684216,0.07726621798578047,0.6012624657574109,0.10887174401659713,0.14441909137373204,0.12246458806487857,0.32569133551735335,0.3232528616765613,8.16431608894663,13.61466696084231,0.26781886898897284,0.2884794334849463
low,v73_confidence_hybrid_reference,0.22562742124892973,0.17518874107252433,0.2975251426435751,0.22984590932802845,0.20879897515957088,0.14651445078655273,0.05414015668810875,0.07448538014458433,0.6216924929777332,0.11301058204882289,0.194486403446307,0.1592213722415126,0.6217412048418823,0.22547101492910884,3.863541964661447,7.299482464845931,0.5538596705838458,0.2470855598851733
low,v75_selective_coordinator,0.4269630599766441,0.31175239942150995,0.22147980391225414,0.25048991408666377,0.1673074015898564,0.15347855550694384,0.03611195489881477,0.07797870304393975,0.5926839245067197,0.11704680666092579,0.19540306840558064,0.150346551570598,0.5326779383592609,0.2891137441918269,2.538464177058647,4.427483846505427,0.50648937262215,0.27713489544829834
low,v75_selective_hybrid,0.21805597086410033,0.17005190713039398,0.2988794356427145,0.23701971036391645,0.20414342292512866,0.14327969080313982,0.053410414392537596,0.07342195585711027,0.6227345106250884,0.11628757461583951,0.190769950675437,0.15699123994662148,0.5952054427147223,0.24615493883181092,5.077032514515633,10.116834055477225,0.5295461306789081,0.2651941313041049
