scenario,ablation,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,mcc_mean,mcc_std
high,full,0.42024179531794964,0.1727926936589978,0.6138590332543937,0.22290139505091686,0.4128328690736662,0.25858783905036004,0.05986304032098431,0.08772265650886311,0.3891147179784552,0.1719495965458758
high,without_drift,0.42586436394932625,0.17929587649477105,0.6339656842607465,0.21165282525699897,0.40789806075703555,0.259452419856267,0.052864890638386924,0.07610040443617953,0.3985788133921092,0.17692211329506566
high,without_dropout,0.3649363099621594,0.20446648248107072,0.680761854211032,0.2368139329054716,0.3576965169905731,0.2865549447493517,0.04719611389621631,0.08994093700162413,0.3655587709563066,0.17607102890156962
high,without_flat,0.3210598566231815,0.1820196500058114,0.6188334351331848,0.23486514065645836,0.32845634873540985,0.2732877385570506,0.06990076088962999,0.1145948872925529,0.30580792042266847,0.15668666995616015
high,without_spike,0.4010156568194762,0.1825730288981351,0.5552067393461118,0.2506640888377,0.41884804452046087,0.2556310072583971,0.10256012660555258,0.20155950854477056,0.34515599647779766,0.19388076965564494
low,full,0.20414342292512866,0.14327969080313982,0.21805597086410033,0.17005190713039398,0.2988794356427145,0.23701971036391645,0.053410414392537596,0.07342195585711027,0.190769950675437,0.15699123994662148
low,without_drift,0.20623367360391132,0.14749296217564678,0.21224984517702236,0.1666700441790833,0.2899220630156615,0.2310323916557671,0.051776614525888005,0.06450108860083632,0.18902858596343208,0.1621947378019643
low,without_dropout,0.17397545915827248,0.1733194588679113,0.4905179082690897,0.31735860116222964,0.20213099940337317,0.23263092721289957,0.028748910895323058,0.05566493116061803,0.2077457199335999,0.16694616165989723
low,without_flat,0.17628809645896137,0.15060206561305978,0.4553792531565315,0.32654806757915306,0.2337518417651667,0.2567087568740536,0.03971857995024984,0.07881857712062389,0.20831230112761626,0.1519992512193211
low,without_spike,0.17460469687490687,0.12343167677525407,0.149511280025892,0.1103696947739266,0.29534239453443756,0.21133784874256595,0.07680693545912445,0.07019133991903018,0.1473892955736335,0.13706759175953848
medium,full,0.3155138684306688,0.16208877022628482,0.41496250139617824,0.23842418155467257,0.35168712444449857,0.22935910359901138,0.04911328429541995,0.03840727938730642,0.2933616910309659,0.167382104734058
medium,without_drift,0.3213502974027361,0.16292241410956387,0.4022030017820229,0.2385486109412853,0.3628586597478398,0.2301963089768257,0.05600917811854142,0.059390224261349815,0.2939419624006347,0.17140781315030593
medium,without_dropout,0.2800436484754718,0.17114552809640132,0.5255732034630007,0.2851214645917,0.29011438113898474,0.23806059718495604,0.032304935430540235,0.03051643156053759,0.2872195873557881,0.15596339809147866
medium,without_flat,0.24951952604247354,0.1497907987502867,0.38844557668449375,0.27338587952679044,0.3106067055079458,0.24626417709649184,0.06011292186961686,0.04864263559638679,0.23352367335116272,0.14713148293231962
medium,without_spike,0.28001607750160806,0.17078667524578325,0.31474499295142866,0.21375839138367977,0.3290601044111715,0.2367424693455323,0.07176165155523301,0.06516132457833754,0.23739577386017754,0.17815046972280382
