scenario,seed,sensor,method,tp,tn,fp,fn,accuracy,precision,recall,f1,fpr,fnr,specificity,balanced_accuracy,mcc,reward,roc_auc,pr_auc,n_events,event_detection_rate,event_precision,mean_detection_delay,median_detection_delay,early_detection_rate
high,123,sensor_502_multivar_labeled,v75_selective_coordinator,34,1753,69,91,0.9178222907036466,0.3300970873786408,0.272,0.2982456140350877,0.0378704720087815,0.728,0.9621295279912184,0.6170647639956093,0.2563812801443925,0.2615380422217074,0.4212645444566411,0.2039602698006585,17,0.7647058823529411,0.3125,0.3076923076923077,0.0,0.7647058823529411
high,123,sensor_502_multivar_labeled,v75_selective_hybrid,100,1684,138,25,0.91628145865434,0.4201680672268907,0.8,0.5509641873278237,0.0757409440175631,0.2,0.9242590559824369,0.8621295279912184,0.5419554864165784,0.5433849999797981,0.8366652030735456,0.4107837046303598,17,0.7647058823529411,0.2765957446808511,0.3076923076923077,0.0,0.7647058823529411
high,123,sensor_505_multivar_labeled,single_agent_rl_refactored,167,1335,20,459,0.7582029278142353,0.893048128342246,0.2667731629392971,0.4108241082410824,0.014760147601476,0.7332268370607029,0.985239852398524,0.6260065076689105,0.4007262223341334,0.3973840020814655,0.6260065076689105,0.4699424348846632,24,0.125,0.375,14.0,10.0,0.125
high,123,sensor_505_multivar_labeled,or_all,207,1213,142,419,0.7168096920747098,0.5931232091690545,0.3306709265175719,0.4246153846153847,0.1047970479704797,0.6693290734824281,0.8952029520295203,0.6129369392735461,0.275644945254101,0.3687669776105049,0.6129369392735462,0.4076379398328261,24,0.75,0.4456521739130434,1.7222222222222223,0.0,0.75
high,123,sensor_505_multivar_labeled,majority,59,1355,0,567,0.7137809187279152,1.0,0.0942492012779552,0.1722627737226277,0.0,0.9057507987220448,1.0,0.5471246006389776,0.2577696578934463,0.255793008558569,0.5471246006389776,0.3804682825500401,24,0.5833333333333334,1.0,19.357142857142858,0.0,0.4583333333333333
high,123,sensor_505_multivar_labeled,v73_confidence_hybrid_reference,165,1345,10,461,0.762241292276628,0.9428571428571428,0.2635782747603833,0.4119850187265917,0.007380073800738,0.7364217252396166,0.992619926199262,0.6280991004798226,0.4197154852597482,0.4051573049035789,0.6076217535338292,0.5448421527092269,24,0.6666666666666666,0.76,3.6875,0.0,0.6666666666666666
high,123,sensor_505_multivar_labeled,v75_selective_coordinator,166,1345,10,460,0.7627460878344271,0.9431818181818182,0.2651757188498402,0.4139650872817955,0.007380073800738,0.7348242811501597,0.992619926199262,0.6288978225245512,0.4212476137309972,0.406576270278959,0.607165509354774,0.5422129275459494,24,0.6666666666666666,0.7692307692307693,3.6875,0.0,0.6666666666666666
high,123,sensor_505_multivar_labeled,v75_selective_hybrid,166,1345,10,460,0.7627460878344271,0.9431818181818182,0.2651757188498402,0.4139650872817955,0.007380073800738,0.7348242811501597,0.992619926199262,0.6288978225245512,0.4212476137309972,0.406576270278959,0.6073517795880834,0.5445233337581618,24,0.6666666666666666,0.7692307692307693,3.6875,0.0,0.6666666666666666
high,123,sensor_506_multivar_labeled,single_agent_rl_refactored,552,4616,473,88,0.9020771513353116,0.5385365853658537,0.8625,0.6630630630630632,0.092945568874042,0.1375,0.907054431125958,0.884777215562979,0.6324846157489579,0.6286143092958523,0.884777215562979,0.4798482517274117,54,0.1111111111111111,0.0909090909090909,1.1666666666666667,0.0,0.1111111111111111
high,123,sensor_506_multivar_labeled,or_all,605,4185,904,35,0.8360970500960028,0.4009277667329357,0.9453125,0.5630525825965567,0.1776380428374926,0.0546875,0.8223619571625074,0.8838372285812537,0.5490127844062234,0.5793427728946415,0.8838372285812537,0.3851112981229976,54,0.8703703703703703,0.2338308457711442,0.1276595744680851,0.0,0.8703703703703703
high,123,sensor_506_multivar_labeled,majority,347,5034,55,293,0.9392564147320648,0.8631840796019901,0.5421875,0.6660268714011516,0.0108076242876793,0.4578125,0.9891923757123208,0.7656899378561604,0.6553253081400455,0.5907651916420488,0.7656899378561604,0.5191509241462873,54,0.6111111111111112,0.84,0.5151515151515151,0.0,0.6111111111111112
high,123,sensor_506_multivar_labeled,v73_confidence_hybrid_reference,580,5024,65,60,0.9781811834526096,0.8992248062015504,0.90625,0.9027237354085604,0.0127726468854391,0.09375,0.9872273531145608,0.9467386765572804,0.8904450687127563,0.8117071371755408,0.9591115641579876,0.836854395584845,54,0.7962962962962963,0.7413793103448276,0.2325581395348837,0.0,0.7962962962962963
high,123,sensor_506_multivar_labeled,v75_selective_coordinator,576,5007,82,64,0.974515622272648,0.8753799392097265,0.9,0.8875192604006163,0.0161131853016309,0.1,0.983886814698369,0.9419434073491846,0.8732590914467517,0.7990793395315733,0.9622532975535468,0.8894007489818249,54,0.8148148148148148,0.7142857142857143,0.2272727272727272,0.0,0.8148148148148148
high,123,sensor_506_multivar_labeled,v75_selective_hybrid,582,4989,100,58,0.9724210158840983,0.8533724340175953,0.909375,0.8804841149773073,0.0196502259775987,0.090625,0.9803497740224012,0.9448623870112008,0.8654720681627336,0.7950711942446678,0.95894177392415,0.8329220951504512,54,0.8148148148148148,0.6875,0.2045454545454545,0.0,0.8148148148148148
high,123,sensor_507_multivar_labeled,single_agent_rl_refactored,92,1469,38,398,0.7816725087631448,0.7076923076923077,0.1877551020408163,0.2967741935483871,0.0252156602521566,0.8122448979591836,0.9747843397478434,0.5812697208943298,0.2835107918361516,0.2935071978376496,0.5812697208943299,0.332171789866904,19,0.1052631578947368,0.4,54.0,54.0,0.0526315789473684
high,123,sensor_507_multivar_labeled,or_all,133,1333,174,357,0.7341011517275914,0.4332247557003257,0.2714285714285714,0.3337515683814303,0.1154611811546118,0.7285714285714285,0.8845388188453882,0.5779836951369798,0.1860698174294724,0.2850543724398027,0.5779836951369798,0.2963577287755737,19,0.8947368421052632,0.3604651162790697,2.8823529411764706,0.0,0.7894736842105263
high,123,sensor_507_multivar_labeled,majority,98,1472,35,392,0.786179268903355,0.7368421052631579,0.2,0.3146067415730336,0.0232249502322495,0.8,0.9767750497677504,0.5883875248838752,0.3050892180880714,0.3097768544741138,0.5883875248838752,0.3436628627151253,19,0.5789473684210527,0.8235294117647058,9.181818181818182,0.0,0.5263157894736842
high,123,sensor_507_multivar_labeled,v73_confidence_hybrid_reference,101,1471,36,389,0.7871807711567351,0.7372262773722628,0.2061224489795918,0.3221690590111642,0.0238885202388852,0.7938775510204081,0.9761114797611148,0.5911169643703533,0.3102181107377423,0.3150079008308524,0.5631725417439704,0.3731558692968328,19,0.7368421052631579,0.8095238095238095,7.214285714285714,0.0,0.6842105263157895
high,123,sensor_507_multivar_labeled,v75_selective_coordinator,15,1506,1,475,0.7616424636955433,0.9375,0.0306122448979591,0.0592885375494071,0.0006635700066357,0.9693877551020408,0.9993364299933644,0.5149743374456617,0.1445539782857561,0.1764221583659574,0.5288355023495795,0.290508613957941,19,0.6842105263157895,0.9375,6.923076923076923,0.0,0.631578947368421
high,123,sensor_507_multivar_labeled,v75_selective_hybrid,101,1471,36,389,0.7871807711567351,0.7372262773722628,0.2061224489795918,0.3221690590111642,0.0238885202388852,0.7938775510204081,0.9761114797611148,0.5911169643703533,0.3102181107377423,0.3150079008308524,0.5753632707230205,0.3728014712667892,19,0.7368421052631579,0.8095238095238095,7.214285714285714,0.0,0.6842105263157895
high,123,sensor_508_multivar_labeled,single_agent_rl_refactored,147,1392,9,393,0.7928902627511591,0.9423076923076924,0.2722222222222222,0.4224137931034483,0.006423982869379,0.7277777777777777,0.9935760171306208,0.6328991196764215,0.4381135023180629,0.4124566291224343,0.6328991196764215,0.4589900461036473,22,0.0909090909090909,0.5,76.0,76.0,0.0454545454545454
high,123,sensor_508_multivar_labeled,or_all,196,1269,132,344,0.7547655847501288,0.5975609756097561,0.362962962962963,0.4516129032258064,0.0942184154175588,0.6370370370370371,0.9057815845824412,0.634372273772702,0.3213671666247885,0.3923270001402093,0.634372273772702,0.3941207351280107,22,0.7727272727272727,0.3977272727272727,1.1176470588235294,0.0,0.7727272727272727
high,123,sensor_508_multivar_labeled,majority,79,1392,9,461,0.7578567748583205,0.8977272727272727,0.1462962962962962,0.2515923566878981,0.006423982869379,0.8537037037037037,0.9935760171306208,0.5699361567134587,0.3012788603044656,0.291122142020596,0.5699361567134587,0.3688406150635671,22,0.5454545454545454,0.9,0.9166666666666666,0.0,0.5454545454545454
high,123,sensor_508_multivar_labeled,v73_confidence_hybrid_reference,146,1392,9,394,0.7923750643997939,0.9419354838709676,0.2703703703703703,0.4201438848920863,0.006423982869379,0.7296296296296296,0.9935760171306208,0.6319731937504957,0.4363400666210239,0.4108237836062571,0.6319725328469084,0.5283181195016157,22,0.5909090909090909,0.7777777777777778,14.23076923076923,0.0,0.5454545454545454
high,123,sensor_508_multivar_labeled,v75_selective_coordinator,137,1397,4,403,0.7903142709943328,0.9716312056737588,0.2537037037037037,0.4023494860499266,0.0028551034975017,0.7462962962962963,0.9971448965024984,0.625424300103101,0.4330936543987074,0.4026275503348918,0.6321992227773813,0.5348045256554279,22,0.5909090909090909,0.7777777777777778,14.23076923076923,0.0,0.5454545454545454
high,123,sensor_508_multivar_labeled,v75_selective_hybrid,146,1392,9,394,0.7923750643997939,0.9419354838709676,0.2703703703703703,0.4201438848920863,0.006423982869379,0.7296296296296296,0.9935760171306208,0.6319731937504957,0.4363400666210239,0.4108237836062571,0.6317286594231634,0.5264032735014843,22,0.5909090909090909,0.7777777777777778,14.23076923076923,0.0,0.5454545454545454
high,123,sensor_509_multivar_labeled,single_agent_rl_refactored,1056,11053,543,193,0.9427014402491242,0.6604127579737336,0.8454763811048839,0.7415730337078652,0.0468264918937564,0.1545236188951161,0.9531735081062436,0.8993249446055638,0.716751295880016,0.6817300440066888,0.8993249446055637,0.5733886903209308,144,0.0208333333333333,0.0588235294117647,5.666666666666667,0.0,0.0208333333333333
high,123,sensor_509_multivar_labeled,or_all,360,10361,1235,889,0.8346438302841572,0.225705329153605,0.288230584467574,0.2531645569620253,0.1065022421524663,0.7117694155324259,0.8934977578475336,0.5908641711575539,0.1632681165086125,0.2235988011309777,0.5908641711575539,0.1342649882036949,144,0.9236111111111112,0.3446745562130177,0.0601503759398496,0.0,0.9236111111111112
high,123,sensor_509_multivar_labeled,majority,160,11448,148,1089,0.9036979369404438,0.5194805194805194,0.1281024819855884,0.2055234425176621,0.0127630217316315,0.8718975180144115,0.9872369782683684,0.5576697301269784,0.2233783435303913,0.2075620694775392,0.5576697301269784,0.1513268139547909,144,0.7291666666666666,0.8705035971223022,1.9428571428571428,0.0,0.7222222222222222
high,123,sensor_509_multivar_labeled,v73_confidence_hybrid_reference,852,11061,535,397,0.9274425846632932,0.6142754145638067,0.6821457165732586,0.646433990895296,0.0461365988271817,0.3178542834267414,0.9538634011728182,0.8180045588730385,0.6071640157691102,0.5830666631767136,0.9452390473952118,0.5365266654246057,144,0.8888888888888888,0.5993788819875776,0.0703125,0.0,0.8888888888888888
high,123,sensor_509_multivar_labeled,v75_selective_coordinator,852,11061,535,397,0.9274425846632932,0.6142754145638067,0.6821457165732586,0.646433990895296,0.0461365988271817,0.3178542834267414,0.9538634011728182,0.8180045588730385,0.6071640157691102,0.5830666631767136,0.9486049688319128,0.6326893217124836,144,0.8888888888888888,0.5993788819875776,0.0703125,0.0,0.8888888888888888
high,123,sensor_509_multivar_labeled,v75_selective_hybrid,852,11061,535,397,0.9274425846632932,0.6142754145638067,0.6821457165732586,0.646433990895296,0.0461365988271817,0.3178542834267414,0.9538634011728182,0.8180045588730385,0.6071640157691102,0.5830666631767136,0.9444181768319104,0.52502935601147,144,0.8888888888888888,0.5993788819875776,0.0703125,0.0,0.8888888888888888
high,123,sensor_510_multivar_labeled,single_agent_rl_refactored,893,7279,325,1119,0.8498336106489185,0.7331691297208539,0.4438369781312127,0.5529411764705883,0.0427406628090478,0.5561630218687873,0.957259337190952,0.7005481576610824,0.4905374118388624,0.4876759260283518,0.7005481576610824,0.4417761234070405,93,0.064516129032258,0.2285714285714285,69.33333333333333,5.5,0.053763440860215
high,123,sensor_510_multivar_labeled,or_all,713,6667,937,1299,0.7674708818635607,0.4321212121212121,0.3543737574552684,0.389404696886947,0.123224618621778,0.6456262425447317,0.876775381378222,0.6155745694167452,0.2493820547451433,0.3340399607917108,0.6155745694167452,0.2882197720248368,93,0.946236559139785,0.3841201716738197,0.5113636363636364,0.0,0.946236559139785
high,123,sensor_510_multivar_labeled,majority,509,7442,162,1503,0.826851081530782,0.7585692995529061,0.2529821073558648,0.3794260156541184,0.0213045765386638,0.7470178926441352,0.978695423461336,0.6158387654086004,0.3698856864524134,0.3582912765301823,0.6158387654086005,0.3482064566485694,93,0.7741935483870968,0.8712871287128713,2.305555555555556,0.0,0.7634408602150538
high,123,sensor_510_multivar_labeled,v73_confidence_hybrid_reference,811,7290,314,1201,0.8424500831946755,0.7208888888888889,0.4030815109343936,0.5170545106789927,0.0412940557601262,0.5969184890656064,0.9587059442398738,0.6808937275871337,0.45786016920412,0.4576029108431855,0.7265598609814026,0.4899369627586373,93,0.8924731182795699,0.782608695652174,0.253012048192771,0.0,0.8924731182795699
high,123,sensor_510_multivar_labeled,v75_selective_coordinator,788,7373,231,1224,0.8486896838602329,0.7733071638861629,0.3916500994035785,0.5199604091059057,0.030378748027354,0.6083499005964215,0.969621251972646,0.6806356756881122,0.4774281371841195,0.4644354136989201,0.7304157694548125,0.5412102018920641,93,0.8924731182795699,0.8367346938775511,0.3012048192771084,0.0,0.8924731182795699
high,123,sensor_510_multivar_labeled,v75_selective_hybrid,809,7290,314,1203,0.8422420965058236,0.7203918076580588,0.4020874751491053,0.5161084529505583,0.0412940557601262,0.5979125248508946,0.9587059442398738,0.6803967096944896,0.4569547644206863,0.456804411945179,0.7261566385485091,0.4842078250022144,93,0.8924731182795699,0.779874213836478,0.253012048192771,0.0,0.8924731182795699
high,123,sensor_511_multivar_labeled,single_agent_rl_refactored,43,3168,101,749,0.7906919477961093,0.2986111111111111,0.0542929292929292,0.0918803418803419,0.0308962985622514,0.9457070707070708,0.9691037014377486,0.5116983153653389,0.0501262643263336,0.0993360694444741,0.5116983153653389,0.200649802648361,38,0.0263157894736842,0.2352941176470588,1.0,1.0,0.0263157894736842
high,123,sensor_511_multivar_labeled,or_all,136,2869,400,656,0.7399655257325782,0.2537313432835821,0.1717171717171717,0.2048192771084337,0.1223615784643621,0.8282828282828283,0.8776384215356378,0.5246777966264047,0.0577756010285696,0.1695073698600478,0.5246777966264048,0.2051065959925993,38,0.9473684210526316,0.4355828220858895,3.111111111111111,0.0,0.9210526315789472
