scenario,seed,sensor,expert,threshold,best_action,tp,tn,fp,fn,accuracy,precision,recall,f1,fpr,fnr,specificity,balanced_accuracy,mcc,reward,roc_auc,pr_auc,n_events,event_detection_rate,event_precision,mean_detection_delay,median_detection_delay,early_detection_rate
medium,321,sensor_507_multivar_labeled,flat,0.35,flat_std_w18,40,1862,82,13,0.9524286429644466,0.3278688524590163,0.7547169811320755,0.4571428571428572,0.0421810699588477,0.2452830188679245,0.9578189300411524,0.856267955586614,0.4782029721238371,0.4770916009268761,0.9271779641276496,0.3793569442943504,1,1.0,0.125,6.0,6.0,1.0
medium,321,sensor_507_multivar_labeled,dropout,0.4999999999999999,dropout_w12,28,1898,60,11,0.9644466700050076,0.3181818181818182,0.717948717948718,0.4409448818897638,0.0306435137895812,0.282051282051282,0.9693564862104188,0.8436526020795684,0.4633871424490903,0.4584727335833237,0.9335795290851472,0.276034064349128,1,1.0,0.1666666666666666,5.0,5.0,1.0
medium,321,sensor_508_multivar_labeled,spike,0.775,z_w21_t3,7,1927,1,6,0.996393611540443,0.875,0.5384615384615384,0.6666666666666667,0.0005186721991701,0.4615384615384615,0.99948132780083,0.7689714331311841,0.6848578262881365,0.5927365943185445,0.8699928183849346,0.5291866532265668,13,0.5384615384615384,0.875,0.0,0.0,0.5384615384615384
medium,321,sensor_508_multivar_labeled,drift,0.725,mean_shift_12_72,1,1833,5,102,0.9448737764039156,0.1666666666666666,0.0097087378640776,0.018348623853211,0.0027203482045701,0.9902912621359224,0.9972796517954298,0.5034941948297538,0.0282196984357441,0.0358974672727112,0.4846762521525085,0.0663023858472087,1,1.0,0.25,22.0,22.0,0.0
medium,321,sensor_508_multivar_labeled,flat,0.7999999999999999,flat_std_w18,0,1824,15,102,0.9397217928902628,0.0,0.0,0.0,0.0081566068515497,1.0,0.9918433931484504,0.4959216965742251,-0.020783883979171,-0.0008156606851549,0.8028979944343153,0.3977837389924551,2,0.0,0.0,,,0.0
medium,321,sensor_508_multivar_labeled,dropout,0.4499999999999999,dropout_w12,30,1812,91,8,0.9489953632148376,0.2479338842975206,0.7894736842105263,0.3773584905660377,0.047819232790331,0.2105263157894736,0.9521807672096688,0.8708272257100976,0.4249955874835334,0.4390615853834699,0.9161573139364438,0.619151144679329,1,1.0,0.0909090909090909,4.0,4.0,1.0
medium,321,sensor_509_multivar_labeled,spike,0.775,z_w21_t3,65,12764,1,15,0.9987543791358504,0.9848484848484848,0.8125,0.8904109589041096,7.833920877399138e-05,0.1875,0.999921660791226,0.906210830395613,0.8939567218382887,0.7921543703132445,0.9948114962788877,0.893401655058506,80,0.8125,1.0,0.0,0.0,0.8125
medium,321,sensor_509_multivar_labeled,drift,0.25,slope_w36_t2.2,38,11388,772,647,0.8895289996107435,0.0469135802469135,0.0554744525547445,0.0508361204013377,0.0634868421052631,0.9445255474452556,0.9365131578947368,0.4959938052247407,-0.0074064240275827,0.040206942773536,0.4896568262581637,0.0524697781678786,1,1.0,0.0419580419580419,62.0,62.0,1.0
medium,321,sensor_509_multivar_labeled,flat,0.25,low_range_w24,653,9033,3128,31,0.7540677306344882,0.1727056334303094,0.9546783625730996,0.2924972004479284,0.2572156894992188,0.0453216374269005,0.7427843105007812,0.8487313365369403,0.3436136263636924,0.4182115250381221,0.9224679146403684,0.4011200533701585,2,1.0,0.0125786163522012,4.5,4.5,1.0
medium,321,sensor_509_multivar_labeled,dropout,0.7999999999999999,dropout_w24,240,12196,393,16,0.9681588166601792,0.3791469194312796,0.9375,0.5399325084364454,0.0312177297640797,0.0625,0.9687822702359202,0.9531411351179602,0.5851723950399337,0.5779698937346844,0.9715333078481214,0.378641921317332,1,1.0,0.0357142857142857,0.0,0.0,1.0
medium,321,sensor_510_multivar_labeled,spike,0.85,z_w21_t3,47,9556,1,12,0.9986480865224624,0.9791666666666666,0.7966101694915254,0.8785046728971962,0.0001046353458198,0.2033898305084746,0.9998953646541802,0.8982527670728528,0.8825603135540862,0.7811746901166139,0.975999489237634,0.8382990235549619,59,0.7966101694915254,0.9791666666666666,0.0,0.0,0.7966101694915254
medium,321,sensor_510_multivar_labeled,drift,0.775,ewma_s48_w96_t2.2,0,9484,4,128,0.9862728785357736,0.0,0.0,0.0,0.0004215851602023,1.0,0.9995784148397976,0.4997892074198988,-0.0023694129699331,-4.215851602023609e-05,0.4993404497786678,0.0137660129378019,1,0.0,0.0,,,0.0
medium,321,sensor_510_multivar_labeled,flat,0.85,flat_std_w36,0,8706,654,256,0.9053660565723792,0.0,0.0,0.0,0.0698717948717948,1.0,0.9301282051282052,0.4650641025641026,-0.0446754013394937,-0.0069871794871794,0.3980385283119658,0.0260545757268609,1,0.0,0.0,,,0.0
medium,321,sensor_510_multivar_labeled,dropout,0.825,flat_std_w18,341,8954,278,43,0.966618136439268,0.5508885298869144,0.8880208333333334,0.6799601196410767,0.0301126516464471,0.1119791666666666,0.9698873483535528,0.928954090843443,0.6844790103339965,0.6520103181568769,0.9625635527242202,0.52087280329895,2,1.0,0.0869565217391304,10.5,10.5,1.0
medium,321,sensor_511_multivar_labeled,spike,0.9,z_w21_t3,9,4040,0,12,0.9970450627924156,1.0,0.4285714285714285,0.6,0.0,0.5714285714285714,1.0,0.7142857142857143,0.6536835733550129,0.5485714285714286,0.975106082036775,0.7069996966452021,20,0.45,1.0,0.0,0.0,0.45
medium,321,sensor_511_multivar_labeled,drift,0.25,slope_w36_t2.2,25,3406,439,191,0.8448657966018223,0.0538793103448275,0.1157407407407407,0.0735294117647058,0.1141742522756827,0.8842592592592593,0.8858257477243173,0.5007832442325291,0.0011050273819652,0.0644749288404957,0.5086259211096662,0.0538025112371554,1,1.0,0.056,0.0,0.0,1.0
medium,321,sensor_511_multivar_labeled,flat,0.75,flat_std_w36,0,3898,163,0,0.9598621029303128,0.0,0.0,0.0,0.0401378970696872,0.0,0.9598621029303128,0.4799310514651563,0.0,-0.0040137897069687,,,0,,,,,
medium,321,sensor_511_multivar_labeled,dropout,0.625,dropout_w24,63,3908,72,18,0.9778379709431174,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.0180904522613065,0.2222222222222222,0.9819095477386934,0.8798436627582356,0.5924843651155172,0.5640242881072026,0.9156182145294371,0.4051670208763785,1,1.0,0.125,10.0,10.0,1.0
medium,42,sensor_501_multivar_labeled,spike,0.7999999999999999,z_w21_t3,8,1731,1,5,0.9965616045845272,0.8888888888888888,0.6153846153846154,0.7272727272727274,0.0005773672055427,0.3846153846153846,0.9994226327944572,0.8074036240895364,0.7380545870810983,0.645163708500891,0.9227216201812044,0.599761281427428,13,0.6153846153846154,0.8888888888888888,0.0,0.0,0.6153846153846154
medium,42,sensor_501_multivar_labeled,drift,0.25,slope_w36_t2.2,0,1560,185,0,0.8939828080229226,0.0,0.0,0.0,0.1060171919770773,0.0,0.8939828080229226,0.4469914040114613,0.0,-0.0106017191977077,,,0,,,,,
medium,42,sensor_501_multivar_labeled,flat,0.6,flat_std_w18,0,1696,49,0,0.971919770773639,0.0,0.0,0.0,0.028080229226361,0.0,0.971919770773639,0.4859598853868195,0.0,-0.0028080229226361,,,0,,,,,
medium,42,sensor_501_multivar_labeled,dropout,0.75,dropout_w12,19,1696,15,15,0.982808022922636,0.5588235294117647,0.5588235294117647,0.5588235294117647,0.0087668030391583,0.4411764705882353,0.9912331969608416,0.7750283631863032,0.5500567263726063,0.5020644961666724,0.8779007804173685,0.3645045021744142,1,1.0,0.3333333333333333,7.0,7.0,0.0
medium,42,sensor_502_multivar_labeled,spike,0.85,z_w21_t3,9,1934,0,4,0.9979455572675912,1.0,0.6923076923076923,0.8181818181818181,0.0,0.3076923076923077,1.0,0.8461538461538461,0.8311911817759272,0.7258741258741258,0.9802521676875348,0.7785012919896641,13,0.6923076923076923,1.0,0.0,0.0,0.6923076923076923
medium,42,sensor_502_multivar_labeled,drift,0.25,slope_w36_t2.2,19,1619,113,196,0.8412942989214176,0.1439393939393939,0.0883720930232558,0.1095100864553314,0.0652424942263279,0.9116279069767442,0.934757505773672,0.5115647993984639,0.0288360648222847,0.0908578264801521,0.5078172834201622,0.1214217428804061,2,1.0,0.1095890410958904,11.5,11.5,1.0
medium,42,sensor_502_multivar_labeled,flat,0.725,flat_std_w18,0,1864,83,0,0.9573703133025168,0.0,0.0,0.0,0.0426296866974833,0.0,0.9573703133025168,0.4786851566512583,0.0,-0.0042629686697483,,,0,,,,,
medium,42,sensor_502_multivar_labeled,dropout,0.7,dropout_w24,0,1830,117,0,0.9399075500770416,0.0,0.0,0.0,0.0600924499229583,0.0,0.9399075500770416,0.4699537750385208,0.0,-0.0060092449922958,,,0,,,,,
medium,42,sensor_505_multivar_labeled,spike,0.775,z_w21_t3,6,1972,0,3,0.9984856133266028,1.0,0.6666666666666666,0.8,0.0,0.3333333333333333,1.0,0.8333333333333333,0.815876221273067,0.7100000000000001,0.975152129817444,0.6936048474510013,9,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666
medium,42,sensor_505_multivar_labeled,drift,0.25,ewma_s48_w96_t2.2,1,1782,173,25,0.9000504795557799,0.0057471264367816,0.0384615384615384,0.01,0.0884910485933503,0.9615384615384616,0.9115089514066496,0.474985244934094,-0.0201155821139669,0.0080514256446437,0.4468325791855204,0.0140991788858056,1,1.0,0.0188679245283018,1.0,1.0,1.0
medium,42,sensor_505_multivar_labeled,flat,0.775,flat_std_w36,0,1959,22,0,0.98889449772842,0.0,0.0,0.0,0.01110550227158,0.0,0.98889449772842,0.49444724886421,0.0,-0.001110550227158,,,0,,,,,
medium,42,sensor_505_multivar_labeled,dropout,0.675,dropout_w24,22,1934,8,17,0.9873801110550228,0.7333333333333333,0.5641025641025641,0.6376811594202899,0.0041194644696189,0.4358974358974359,0.995880535530381,0.7799915498164726,0.6370046085986488,0.5657753445229378,0.9761282315350288,0.5713391475417378,1,1.0,0.25,9.0,9.0,0.0
medium,42,sensor_506_multivar_labeled,spike,0.825,z_w21_t3,18,5699,3,9,0.9979053936114504,0.8571428571428571,0.6666666666666666,0.75,0.0005261311820413,0.3333333333333333,0.9994738688179586,0.8330702677423126,0.7549352787764015,0.6660188154532244,0.9482475284825336,0.6057578643468692,27,0.6666666666666666,0.8571428571428571,0.0,0.0,0.6666666666666666
medium,42,sensor_506_multivar_labeled,drift,0.25,mean_shift_12_72,24,4848,576,281,0.850410193751091,0.04,0.0786885245901639,0.0530386740331491,0.1061946902654867,0.921311475409836,0.8938053097345132,0.4862469171623386,-0.0201673037691534,0.0428544916654176,0.4938258619855893,0.051757938915635,1,1.0,0.0568720379146919,3.0,3.0,1.0
medium,42,sensor_506_multivar_labeled,flat,0.35,low_range_w24,141,4478,1099,11,0.8062489090591727,0.1137096774193548,0.9276315789473684,0.2025862068965517,0.1970593509055047,0.0723684210526315,0.8029406490944953,0.8652861140209318,0.2851015837669383,0.3668037833100115,0.8923362400083047,0.2144895434999377,1,1.0,0.0149253731343283,0.0,0.0,1.0
medium,42,sensor_506_multivar_labeled,dropout,0.775,dropout_w24,283,5216,171,59,0.9598533775528016,0.6233480176211453,0.827485380116959,0.7110552763819095,0.0317430852051234,0.1725146198830409,0.9682569147948764,0.8978711474559178,0.6979427888424466,0.6585483825296065,0.9439779217240551,0.5719127939105183,3,1.0,0.2307692307692307,9.666666666666666,9.0,1.0
medium,42,sensor_507_multivar_labeled,spike,0.75,z_w21_t3,2,1991,1,3,0.9979969954932398,0.6666666666666666,0.4,0.5,0.0005020080321285,0.6,0.9994979919678716,0.6997489959839358,0.5154909742244579,0.4449497991967871,0.8072289156626506,0.2883335985513742,5,0.4,0.6666666666666666,0.0,0.0,0.4
medium,42,sensor_507_multivar_labeled,drift,0.25,mean_shift_12_72,16,1560,231,190,0.7891837756634953,0.0647773279352226,0.0776699029126213,0.0706401766004415,0.1289782244556113,0.9223300970873788,0.8710217755443886,0.474345839228505,-0.0474025505340009,0.0519078270887073,0.4724377009101603,0.1017803187760134,2,0.5,0.0769230769230769,1.0,1.0,0.5
medium,42,sensor_507_multivar_labeled,flat,0.7999999999999999,flat_std_w18,2,1861,30,104,0.9328993490235352,0.0625,0.0188679245283018,0.0289855072463768,0.0158646218931782,0.981132075471698,0.9841353781068218,0.5015016513175619,0.0053621817187947,0.0264923934300423,0.8574778244514732,0.4540412875721728,2,0.5,0.25,25.0,25.0,0.0
medium,42,sensor_507_multivar_labeled,dropout,0.725,flat_std_w18,0,1962,35,0,0.9824737105658488,0.0,0.0,0.0,0.0175262894341512,0.0,0.9824737105658488,0.4912368552829244,0.0,-0.0017526289434151,,,0,,,,,
medium,42,sensor_508_multivar_labeled,spike,0.7999999999999999,z_w21_t3,8,1929,1,3,0.9979392065945388,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.0005181347150259,0.2727272727272727,0.999481865284974,0.8633772962788506,0.8030414568086703,0.7114633380436488,0.9276024493641074,0.7288254063961501,11,0.7272727272727273,0.8888888888888888,0.0,0.0,0.7272727272727273
medium,42,sensor_508_multivar_labeled,drift,0.525,ewma_s48_w96_t2.2,5,1795,18,123,0.927357032457496,0.217391304347826,0.0390625,0.0662251655629139,0.0099282956425813,0.9609375,0.9900717043574186,0.5145671021787093,0.0668219014650394,0.073135940591227,0.494296831908439,0.0851885213740693,2,1.0,0.1333333333333333,28.5,28.5,0.0
medium,42,sensor_508_multivar_labeled,flat,0.7999999999999999,flat_std_w18,3,1831,32,75,0.9448737764039156,0.0857142857142857,0.0384615384615384,0.0530973451327433,0.0171765968867418,0.9615384615384616,0.9828234031132582,0.5106424707873983,0.0314145411657541,0.0465717500166647,0.8708864940748998,0.3664308578017256,2,0.5,0.25,7.0,7.0,0.0
medium,42,sensor_508_multivar_labeled,dropout,0.7999999999999999,flat_std_w18,39,1855,6,41,0.975785677485832,0.8666666666666667,0.4875,0.624,0.0032240730789897,0.5125,0.9967759269210102,0.7421379634605051,0.6397136795720942,0.556727592692101,0.9166174099946264,0.642554741122011,2,1.0,0.5,9.5,9.5,0.0
medium,42,sensor_509_multivar_labeled,spike,0.75,z_w21_t3,61,12775,0,9,0.999299338263916,1.0,0.8714285714285714,0.931297709923664,0.0,0.1285714285714285,1.0,0.9357142857142856,0.9331747324867352,0.8305125408942203,0.972599944087224,0.9021370544081768,70,0.8714285714285714,1.0,0.0,0.0,0.8714285714285714
medium,42,sensor_509_multivar_labeled,drift,0.25,ewma_s48_w96_t2.2,41,10942,533,1329,0.8550408719346049,0.0714285714285714,0.02992700729927,0.0421810699588477,0.0464488017429193,0.97007299270073,0.9535511982570806,0.4917391027781753,-0.0246829987375283,0.0340289892112562,0.4874958891910373,0.1048385940932286,2,1.0,0.0746887966804979,57.5,57.5,1.0
medium,42,sensor_509_multivar_labeled,flat,0.75,flat_std_w18,35,11536,967,307,0.900817438692098,0.0349301397205588,0.1023391812865497,0.0520833333333333,0.0773414380548668,0.8976608187134503,0.9226585619451332,0.5124988716158414,0.0150056995308621,0.051644631538562,0.8945228583736395,0.185316411548723,1,1.0,0.0816326530612244,33.0,33.0,1.0
medium,42,sensor_509_multivar_labeled,dropout,0.775,dropout_w24,479,11705,628,33,0.9485402880498248,0.4327009936766034,0.935546875,0.5917232859789994,0.0509202951431119,0.064453125,0.949079704856888,0.942313289928444,0.6166780173136364,0.606752660727729,0.9564521063913888,0.4206873458961793,2,1.0,0.0377358490566037,8.5,8.5,1.0
medium,42,sensor_510_multivar_labeled,spike,0.85,z_w21_t3,41,9565,1,9,0.9989600665557404,0.9761904761904762,0.82,0.8913043478260869,0.0001045369015262,0.18,0.9998954630984738,0.9099477315492368,0.8942054591270419,0.7935050742601579,0.9840204892326992,0.8818419270285095,50,0.82,0.9761904761904762,0.0,0.0,0.82
medium,42,sensor_510_multivar_labeled,drift,0.75,slope_w36_t2.2,2,9058,46,510,0.942179700499168,0.0416666666666666,0.00390625,0.0071428571428571,0.0050527240773286,0.99609375,0.9949472759226714,0.4994267629613357,-0.0036524488482058,0.0101308883065528,0.491964598322166,0.0528850937746702,1,1.0,0.0476190476190476,155.0,155.0,0.0
medium,42,sensor_510_multivar_labeled,flat,0.775,flat_std_w36,0,8926,690,0,0.9282445923460898,0.0,0.0,0.0,0.0717554076539101,0.0,0.9282445923460898,0.4641222961730449,0.0,-0.007175540765391,,,0,,,,,
medium,42,sensor_510_multivar_labeled,dropout,0.85,dropout_w24,354,8937,295,30,0.966202163061564,0.5454545454545454,0.921875,0.6853823814133592,0.0319540727902946,0.078125,0.9680459272097054,0.9449604636048528,0.6945747583314653,0.6636073461751639,0.9717482330480935,0.5275343698337375,2,1.0,0.0869565217391304,4.0,4.0,1.0
medium,42,sensor_511_multivar_labeled,spike,0.2249999999999999,z_w21_t3,24,4029,4,4,0.9980300418616104,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0009918175055789,0.1428571428571428,0.999008182494421,0.928075519818639,0.8561510396372781,0.7713293896780135,0.9899179979455208,0.8605150204219735,28,0.8571428571428571,0.8571428571428571,0.0,0.0,0.8571428571428571
medium,42,sensor_511_multivar_labeled,drift,0.775,slope_w36_t2.2,3,3832,13,213,0.944348682590495,0.1875,0.0138888888888888,0.0258620689655172,0.0033810143042912,0.9861111111111112,0.9966189856957088,0.5052539372922988,0.037641825236088,0.0435914962707202,0.5017669652747676,0.0554066654737325,1,1.0,0.1,19.0,19.0,1.0
medium,42,sensor_511_multivar_labeled,flat,0.775,flat_std_w18,94,3726,227,14,0.9406550110810146,0.292834890965732,0.8703703703703703,0.4382284382284382,0.0574247407032633,0.1296296296296296,0.9425752592967368,0.9064728148335536,0.4847842126574715,0.4964966678884417,0.9035238122007666,0.2691096714138,1,1.0,0.0909090909090909,0.0,0.0,1.0
medium,42,sensor_511_multivar_labeled,dropout,0.825,dropout_w24,128,3789,110,34,0.964540753508988,0.5378151260504201,0.7901234567901234,0.64,0.0282123621441395,0.2098765432098765,0.9717876378558604,0.880955547322992,0.6348158987384926,0.6028880697301862,0.9289450603035284,0.4770802842544275,2,1.0,0.25,9.0,9.0,1.0
medium,777,sensor_501_multivar_labeled,spike,0.775,z_w21_t3,5,1737,1,2,0.9982808022922636,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.0005753739930955,0.2857142857142857,0.9994246260069044,0.8568551701463094,0.7706735939793481,0.6853820230402509,0.9523261548578004,0.6023250089509489,7,0.7142857142857143,0.8333333333333334,0.0,0.0,0.7142857142857143
medium,777,sensor_501_multivar_labeled,drift,0.75,ewma_s24_w48_t2.5,1,1652,0,92,0.9472779369627508,1.0,0.010752688172043,0.0212765957446808,0.0,0.989247311827957,1.0,0.5053763440860215,0.1009230360662961,0.1628002745367192,0.5368305605457054,0.0734974660976829,1,1.0,1.0,71.0,71.0,0.0
medium,777,sensor_501_multivar_labeled,flat,0.775,flat_std_w36,4,1599,8,134,0.9186246418338108,0.3333333333333333,0.0289855072463768,0.0533333333333333,0.0049782202862476,0.9710144927536232,0.9950217797137524,0.5120036434800646,0.0783972196671238,0.0821978301452882,0.7887412858598704,0.460159226931701,3,0.3333333333333333,0.3333333333333333,4.0,4.0,0.3333333333333333
medium,777,sensor_501_multivar_labeled,dropout,0.575,dropout_w12,19,1683,28,15,0.9753581661891118,0.4042553191489361,0.5588235294117647,0.4691358024691358,0.0163646990064289,0.4411764705882353,0.983635300993571,0.7712294152026679,0.4631412618983665,0.437759997906338,0.8364647436999347,0.3082635831689058,1,1.0,0.2,7.0,7.0,0.0
medium,777,sensor_502_multivar_labeled,spike,0.825,z_w21_t3,5,1939,0,3,0.9984591679506932,1.0,0.625,0.7692307692307693,0.0,0.375,1.0,0.8125,0.7899585435419589,0.6836538461538463,0.984850438370294,0.8220829668718851,8,0.625,1.0,0.0,0.0,0.625
medium,777,sensor_502_multivar_labeled,drift,0.25,slope_w36_t2.2,0,1835,112,0,0.9424756034925528,0.0,0.0,0.0,0.0575243965074473,0.0,0.9424756034925528,0.4712378017462763,0.0,-0.0057524396507447,,,0,,,,,
medium,777,sensor_502_multivar_labeled,flat,0.4999999999999999,flat_std_w18,0,1759,137,51,0.9034411915767848,0.0,0.0,0.0,0.0722573839662447,1.0,0.9277426160337552,0.4638713080168776,-0.0451218521026168,-0.0072257383966244,0.4187763713080168,0.0261941448382126,1,0.0,0.0,,,0.0
medium,777,sensor_502_multivar_labeled,dropout,0.7999999999999999,dropout_w24,0,1835,112,0,0.9424756034925528,0.0,0.0,0.0,0.0575243965074473,0.0,0.9424756034925528,0.4712378017462763,0.0,-0.0057524396507447,,,0,,,,,
medium,777,sensor_505_multivar_labeled,spike,0.675,z_w21_t3,6,1973,1,1,0.9989904088844018,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0005065856129685,0.1428571428571428,0.9994934143870314,0.9283181357649444,0.8566362715298885,0.7713779128672745,0.9989506440874224,0.8874458874458874,7,0.8571428571428571,0.8571428571428571,0.0,0.0,0.8571428571428571
medium,777,sensor_505_multivar_labeled,drift,0.25,ewma_s48_w96_t2.2,6,1716,160,99,0.8692579505300353,0.036144578313253,0.0571428571428571,0.044280442804428,0.0852878464818763,0.9428571428571428,0.9147121535181236,0.4859275053304904,-0.0227572508309752,0.03396195850365,0.4825032998273937,0.0511464154757756,1,1.0,0.0384615384615384,49.0,49.0,0.0
medium,777,sensor_505_multivar_labeled,flat,0.725,flat_std_w18,0,1981,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,,,0,,,,,
medium,777,sensor_505_multivar_labeled,dropout,0.7999999999999999,dropout_w24,0,1977,4,0,0.9979808177688037,0.0,0.0,0.0,0.0020191822311963,0.0,0.9979808177688037,0.4989904088844018,0.0,-0.0002019182231196,,,0,,,,,
medium,777,sensor_506_multivar_labeled,spike,0.825,z_w21_t3,30,5690,4,5,0.998429045208588,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.0007024938531787,0.1428571428571428,0.9992975061468212,0.9282201816448392,0.8688675102872088,0.7807298967600967,0.959834913944503,0.79989282540689,35,0.8571428571428571,0.8823529411764706,0.0,0.0,0.8571428571428571
medium,777,sensor_506_multivar_labeled,drift,0.775,ewma_s24_w48_t2.5,0,5338,10,381,0.9317507418397626,0.0,0.0,0.0,0.0018698578908002,1.0,0.9981301421091996,0.4990650710545998,-0.0111610933431856,-0.00018698578908,0.4936093557677019,0.0654575826421521,2,0.0,0.0,,,0.0
medium,777,sensor_506_multivar_labeled,flat,0.725,low_range_w24,117,5340,237,35,0.9525222551928784,0.3305084745762712,0.7697368421052632,0.4624505928853754,0.0424959655728886,0.2302631578947368,0.9575040344271114,0.8636204382661873,0.4854109091949861,0.4843504940591497,0.8891771184281305,0.2775176381060775,1,1.0,0.1538461538461538,17.0,17.0,1.0
medium,777,sensor_506_multivar_labeled,dropout,0.7999999999999999,dropout_w24,194,5419,82,34,0.9797521382440216,0.7028985507246377,0.8508771929824561,0.7698412698412699,0.0149063806580621,0.1491228070175438,0.9850936193419378,0.917985406162197,0.7631450129988286,0.7056358738661977,0.9408823595072028,0.64018568824095,2,1.0,0.1818181818181818,9.0,9.0,1.0
medium,777,sensor_507_multivar_labeled,spike,0.7,z_w21_t3,9,1983,3,2,0.9974962443665498,0.75,0.8181818181818182,0.7826086956521738,0.0015105740181268,0.1818181818181818,0.9984894259818732,0.9083356220818456,0.7821001154324039,0.709977401096211,0.988945344685526,0.7228241272336993,11,0.8181818181818182,0.75,0.0,0.0,0.8181818181818182
medium,777,sensor_507_multivar_labeled,drift,0.2249999999999999,slope_w36_t2.2,0,1776,221,0,0.8893340010015023,0.0,0.0,0.0,0.1106659989984977,0.0,0.8893340010015023,0.4446670005007511,0.0,-0.0110665998998497,,,0,,,,,
medium,777,sensor_507_multivar_labeled,flat,0.6,flat_std_w18,0,1909,88,0,0.9559339008512768,0.0,0.0,0.0,0.044066099148723,0.0,0.9559339008512768,0.4779669504256384,0.0,-0.0044066099148723,,,0,,,,,
medium,777,sensor_507_multivar_labeled,dropout,0.775,dropout_w12,46,1879,40,32,0.9639459188783176,0.5348837209302325,0.5897435897435898,0.5609756097560975,0.0208441896821261,0.4102564102564102,0.979155810317874,0.7844497000307318,0.5429260692655762,0.5075102404846431,0.877226386606272,0.3935317252426761,2,1.0,0.3333333333333333,8.0,8.0,0.5
medium,777,sensor_508_multivar_labeled,spike,0.825,z_w21_t3,8,1930,1,2,0.9984544049459042,0.8888888888888888,0.8,0.8421052631578948,0.0005178663904712,0.2,0.9994821336095288,0.8997410668047644,0.8425100380258786,0.7522289151153388,0.9766442257897462,0.6962456338152717,10,0.8,0.8888888888888888,0.0,0.0,0.8
medium,777,sensor_508_multivar_labeled,drift,0.75,slope_w36_t2.2,0,1734,1,206,0.893353941267388,0.0,0.0,0.0,0.0005763688760806,1.0,0.9994236311239192,0.4997118155619596,-0.0078231742862934,-5.763688760806917e-05,0.5013234100892532,0.1050617529756052,2,0.0,0.0,,,0.0
medium,777,sensor_508_multivar_labeled,flat,0.7999999999999999,flat_std_w18,0,1839,0,102,0.947449768160742,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.8520881979763085,0.6162057576625559,2,0.0,0.0,,,0.0
medium,777,sensor_508_multivar_labeled,dropout,0.725,dropout_w12,0,1935,6,0,0.9969088098918084,0.0,0.0,0.0,0.0030911901081916,0.0,0.9969088098918084,0.4984544049459041,0.0,-0.0003091190108191,,,0,,,,,
medium,777,sensor_509_multivar_labeled,spike,0.775,z_w21_t3,64,12768,0,13,0.9989879330478786,1.0,0.8311688311688312,0.9078014184397164,0.0,0.1688311688311688,1.0,0.9155844155844156,0.9112208406407812,0.8078612876485217,0.970092642320086,0.8740251855916419,77,0.8311688311688312,1.0,0.0,0.0,0.8311688311688312
medium,777,sensor_509_multivar_labeled,drift,0.05,ewma_s48_w96_t2.2,0,11746,1099,0,0.9144414168937328,0.0,0.0,0.0,0.085558583106267,0.0,0.9144414168937328,0.4572207084468664,0.0,-0.0085558583106267,,,0,,,,,
medium,777,sensor_509_multivar_labeled,flat,0.75,flat_std_w18,90,11833,328,594,0.9282210977033866,0.215311004784689,0.131578947368421,0.1633393829401089,0.0269714661623221,0.868421052631579,0.9730285338376778,0.5523037406030494,0.1323744443352494,0.1425759106350464,0.9398721394391332,0.4580680128737294,2,1.0,0.1875,97.5,97.5,0.5
medium,777,sensor_509_multivar_labeled,dropout,0.9,flat_std_w18,0,12408,437,0,0.9659789801479176,0.0,0.0,0.0,0.0340210198520825,0.0,0.9659789801479176,0.4829894900739587,0.0,-0.0034021019852082,,,0,,,,,
medium,777,sensor_510_multivar_labeled,spike,0.825,z_w21_t3,54,9551,2,9,0.9988560732113144,0.9642857142857144,0.8571428571428571,0.907563025210084,0.0002093583167591,0.1428571428571428,0.9997906416832408,0.928466749413049,0.9085824092801972,0.8101681397985759,0.9658313934457554,0.85988035566598,62,0.8548387096774194,0.9636363636363636,0.0,0.0,0.8548387096774194
medium,777,sensor_510_multivar_labeled,drift,0.775,ewma_s48_w96_t2.2,1,9099,5,511,0.9463394342762064,0.1666666666666666,0.001953125,0.0038610038610038,0.00054920913884,0.998046875,0.99945079086116,0.50070195793058,0.0126227757442353,0.0272684683235677,0.5040962205829855,0.0544945834591049,1,1.0,0.1666666666666666,503.0,503.0,0.0
medium,777,sensor_510_multivar_labeled,flat,0.4249999999999999,flat_std_w36,247,8386,718,265,0.8977745424292846,0.2559585492227979,0.482421875,0.3344617467840216,0.0788664323374341,0.517578125,0.921133567662566,0.701777721331283,0.3015487282714082,0.325741487702486,0.7072800031236269,0.2185261213703818,2,1.0,0.0461538461538461,18.0,18.0,1.0
medium,777,sensor_510_multivar_labeled,dropout,0.85,dropout_w24,0,9322,294,0,0.9694259567387687,0.0,0.0,0.0,0.0305740432612312,0.0,0.9694259567387687,0.4847129783693844,0.0,-0.0030574043261231,,,0,,,,,
