scenario,seed,sensor,expert,threshold,best_action,tp,tn,fp,fn,accuracy,precision,recall,f1,fpr,fnr,specificity,balanced_accuracy,mcc,reward,roc_auc,pr_auc,n_events,event_detection_rate,event_precision,mean_detection_delay,median_detection_delay,early_detection_rate
low,999,sensor_508_multivar_labeled,dropout,0.3249999999999999,dropout_w12,19,1823,80,19,0.9489953632148376,0.1919191919191919,0.5,0.2773722627737226,0.0420388859695218,0.5,0.9579611140304782,0.7289805570152391,0.2883881329508926,0.2994015084391018,0.7813632215062091,0.1607043662641489,2,1.0,0.0952380952380952,5.5,5.5,0.0
low,999,sensor_509_multivar_labeled,spike,0.75,z_w21_t3,35,12805,0,5,0.9996107434799532,1.0,0.875,0.9333333333333332,0.0,0.125,1.0,0.9375,0.9352317733831303,0.8325000000000001,0.9836597032409216,0.9134176623349342,40,0.875,1.0,0.0,0.0,0.875
low,999,sensor_509_multivar_labeled,drift,0.25,ewma_s24_w48_t2.5,19,11893,610,323,0.9273647333592838,0.0302066772655007,0.0555555555555555,0.03913491246138,0.0487882908102055,0.9444444444444444,0.9512117091897944,0.503383632372675,0.0050482807686155,0.0339295497830922,0.532524124034793,0.0299743912362135,1,1.0,0.0328467153284671,45.0,45.0,1.0
low,999,sensor_509_multivar_labeled,flat,0.7999999999999999,flat_std_w18,0,11923,922,0,0.9282210977033866,0.0,0.0,0.0,0.0717789022966134,0.0,0.9282210977033866,0.4641105488516933,0.0,-0.0071778902296613,,,0,,,,,
low,999,sensor_509_multivar_labeled,dropout,0.7999999999999999,dropout_w24,324,12023,438,60,0.9612300506033477,0.4251968503937008,0.84375,0.5654450261780105,0.035149666960918,0.15625,0.964850333039082,0.9043001665195408,0.5829228809846705,0.567839822643068,0.944977496455608,0.3903662148271412,3,1.0,0.0526315789473684,9.0,11.0,1.0
low,999,sensor_510_multivar_labeled,spike,0.85,z_w21_t3,25,9585,1,5,0.9993760399334444,0.9615384615384616,0.8333333333333334,0.8928571428571429,0.0001043187982474,0.1666666666666666,0.9998956812017524,0.9166145072675428,0.8948448573764897,0.7960060516366588,0.9763613603171292,0.8789816242688405,30,0.8333333333333334,0.9615384615384616,0.0,0.0,0.8333333333333334
low,999,sensor_510_multivar_labeled,drift,0.25,ewma_s24_w48_t2.5,27,8586,774,229,0.8956946755407654,0.0337078651685393,0.10546875,0.0510879848628193,0.0826923076923076,0.89453125,0.9173076923076924,0.5113882211538461,0.0132683334904618,0.0514171671943188,0.5057247846554488,0.0271812590301532,1,1.0,0.0354330708661417,65.0,65.0,0.0
low,999,sensor_510_multivar_labeled,flat,0.775,flat_std_w18,0,9132,484,0,0.949667221297837,0.0,0.0,0.0,0.050332778702163,0.0,0.949667221297837,0.4748336106489185,0.0,-0.0050332778702163,,,0,,,,,
low,999,sensor_510_multivar_labeled,dropout,0.75,dropout_w24,79,9171,349,17,0.9619384359401,0.1845794392523364,0.8229166666666666,0.3015267175572519,0.0366596638655462,0.1770833333333333,0.9633403361344538,0.8931285014005602,0.3790410439075581,0.4065829724020591,0.9276687237394956,0.1672222492452986,1,1.0,0.032258064516129,9.0,9.0,1.0
low,999,sensor_511_multivar_labeled,spike,0.85,z_w21_t3,8,4049,1,3,0.9990150209308052,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.0002469135802469,0.2727272727272727,0.9997530864197532,0.8635129068462402,0.80355889385914,0.7114904601571267,0.93337822671156,0.7319880860683247,11,0.7272727272727273,0.8888888888888888,0.0,0.0,0.7272727272727273
low,999,sensor_511_multivar_labeled,drift,0.25,ewma_s48_w96_t2.2,0,3687,366,8,0.907904457030288,0.0,0.0,0.0,0.0903034789045151,1.0,0.9096965210954848,0.4548482605477424,-0.013982666935321,-0.0090303478904515,0.4156180606957809,0.0019699581383895,1,0.0,0.0,,,0.0
low,999,sensor_511_multivar_labeled,flat,0.775,flat_std_w18,0,3912,149,0,0.9633095296724944,0.0,0.0,0.0,0.0366904703275055,0.0,0.9633095296724944,0.4816547648362472,0.0,-0.0036690470327505,,,0,,,,,
low,999,sensor_511_multivar_labeled,dropout,0.825,dropout_w24,23,3941,80,17,0.9761142575720266,0.2233009708737864,0.575,0.3216783216783216,0.0198955483710519,0.425,0.980104451628948,0.777552225814474,0.348670524519002,0.3487608355492075,0.9047220840586918,0.1681026311508619,1,1.0,0.1428571428571428,9.0,9.0,0.0
medium,123,sensor_501_multivar_labeled,spike,0.75,z_w21_t3,8,1733,1,3,0.9977077363896848,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.0005767012687427,0.2727272727272727,0.9994232987312572,0.8633480130019923,0.8029297677940501,0.7114574813882771,0.9767746670860856,0.6525808493252738,11,0.7272727272727273,0.8888888888888888,0.0,0.0,0.7272727272727273
medium,123,sensor_501_multivar_labeled,drift,0.25,ewma_s48_w96_t2.2,0,1583,139,23,0.907163323782235,0.0,0.0,0.0,0.0807200929152148,1.0,0.9192799070847852,0.4596399535423925,-0.0340002393318983,-0.0080720092915214,0.4160859465737514,0.0131805157593123,1,0.0,0.0,,,0.0
medium,123,sensor_501_multivar_labeled,flat,0.2,low_range_w24,25,1620,79,21,0.9426934097421203,0.2403846153846154,0.5434782608695652,0.3333333333333333,0.0464979399646851,0.4565217391304347,0.9535020600353148,0.7484901604524401,0.3363131411006897,0.3444513765720933,0.7931327891086829,0.3879816467190503,1,1.0,0.1111111111111111,10.0,10.0,0.0
medium,123,sensor_501_multivar_labeled,dropout,0.4499999999999999,dropout_w12,0,1709,36,0,0.9793696275071632,0.0,0.0,0.0,0.0206303724928366,0.0,0.9793696275071632,0.4896848137535816,0.0,-0.0020630372492836,,,0,,,,,
medium,123,sensor_502_multivar_labeled,spike,0.7999999999999999,z_w21_t3,4,1940,0,3,0.9984591679506932,1.0,0.5714285714285714,0.7272727272727273,0.0,0.4285714285714285,1.0,0.7857142857142857,0.7553451418798678,0.6487012987012987,0.870139911634757,0.5766517582498212,7,0.5714285714285714,1.0,0.0,0.0,0.5714285714285714
medium,123,sensor_502_multivar_labeled,drift,0.775,mean_shift_12_72,0,1636,2,309,0.8402670775552131,0.0,0.0,0.0,0.0012210012210012,1.0,0.9987789987789988,0.4993894993894994,-0.0139276385036228,-0.0001221001221001,0.4924299900028056,0.1561271346179014,3,0.0,0.0,,,0.0
medium,123,sensor_502_multivar_labeled,flat,0.575,flat_std_w18,40,1735,161,11,0.91165896250642,0.1990049751243781,0.7843137254901961,0.3174603174603174,0.084915611814346,0.2156862745098039,0.915084388185654,0.849699056837925,0.367120437981339,0.3995104455914237,0.8549371225283363,0.201086264344813,1,1.0,0.1,0.0,0.0,1.0
medium,123,sensor_502_multivar_labeled,dropout,0.75,dropout_w24,44,1783,99,21,0.938366718027735,0.3076923076923077,0.676923076923077,0.4230769230769231,0.0526036131774707,0.3230769230769231,0.9473963868225292,0.8121597318728031,0.4299194338838151,0.4343550232976375,0.9038379792364916,0.2490012771724598,1,1.0,0.2222222222222222,10.0,10.0,1.0
medium,123,sensor_505_multivar_labeled,spike,0.825,z_w21_t3,8,1969,0,4,0.9979808177688037,1.0,0.6666666666666666,0.8,0.0,0.3333333333333333,1.0,0.8333333333333333,0.8156684908760057,0.7100000000000001,0.9901599796851194,0.8597029363505009,12,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666
medium,123,sensor_505_multivar_labeled,drift,0.25,ewma_s48_w96_t2.2,0,1777,204,0,0.8970217062089854,0.0,0.0,0.0,0.1029782937910146,0.0,0.8970217062089854,0.4485108531044927,0.0,-0.0102978293791014,,,0,,,,,
medium,123,sensor_505_multivar_labeled,flat,0.7999999999999999,flat_std_w18,0,1980,1,0,0.9994952044422007,0.0,0.0,0.0,0.000504795557799,0.0,0.9994952044422007,0.4997476022211004,0.0,-5.047955577990914e-05,,,0,,,,,
medium,123,sensor_505_multivar_labeled,dropout,0.75,dropout_w24,0,1976,5,0,0.9974760222110044,0.0,0.0,0.0,0.0025239777889954,0.0,0.9974760222110044,0.4987380111055022,0.0,-0.0002523977788995,,,0,,,,,
medium,123,sensor_506_multivar_labeled,spike,0.7999999999999999,z_w21_t3,16,5707,4,2,0.9989526968057252,0.8,0.8888888888888888,0.8421052631578948,0.0007004027315706,0.1111111111111111,0.9992995972684292,0.9440942430786592,0.8427571626147393,0.7655439948145623,0.9821397303449484,0.7547441780279381,18,0.8888888888888888,0.8,0.0,0.0,0.8888888888888888
medium,123,sensor_506_multivar_labeled,drift,0.775,ewma_s24_w48_t2.5,3,4884,11,831,0.8530284517367778,0.2142857142857142,0.0035971223021582,0.0070754716981132,0.0022471910112359,0.9964028776978416,0.997752808988764,0.5006749656454612,0.0096427054856132,0.0361812369965319,0.5144992075797993,0.151459182032077,2,0.5,0.125,34.0,34.0,0.5
medium,123,sensor_506_multivar_labeled,flat,0.75,flat_std_w36,0,5348,229,152,0.9334962471635538,0.0,0.0,0.0,0.0410615025999641,1.0,0.958938497400036,0.4794692487000179,-0.0336866534002429,-0.0041061502599964,0.6799336796806433,0.0521852442277038,1,0.0,0.0,,,0.0
medium,123,sensor_506_multivar_labeled,dropout,0.775,dropout_w24,203,5433,68,25,0.9837668004887417,0.7490774907749077,0.8903508771929824,0.8136272545090181,0.012361388838393,0.1096491228070175,0.987638611161607,0.9389947441772948,0.8084927899309851,0.7443630124193497,0.9803113947384364,0.7416608667685286,2,1.0,0.2,5.0,5.0,1.0
medium,123,sensor_507_multivar_labeled,spike,0.775,z_w21_t3,8,1983,1,5,0.9969954932398598,0.8888888888888888,0.6153846153846154,0.7272727272727274,0.0005040322580645,0.3846153846153846,0.9994959677419356,0.8074402915632755,0.7382506606802708,0.6451710419956389,0.8787996277915633,0.572570799246406,13,0.6153846153846154,0.8888888888888888,0.0,0.0,0.6153846153846154
medium,123,sensor_507_multivar_labeled,drift,0.05,ewma_s48_w96_t2.2,0,1706,291,0,0.8542814221331998,0.0,0.0,0.0,0.1457185778668002,0.0,0.8542814221331998,0.4271407110665999,0.0,-0.01457185778668,,,0,,,,,
medium,123,sensor_507_multivar_labeled,flat,0.75,flat_std_w18,7,1857,34,99,0.9334001001502252,0.1707317073170731,0.0660377358490566,0.0952380952380952,0.0179799048122686,0.9339622641509434,0.9820200951877314,0.524028915518394,0.0759777642412727,0.0864802292281939,0.8625315546331682,0.4457929817738317,2,0.5,0.2,16.0,16.0,0.0
medium,123,sensor_507_multivar_labeled,dropout,0.25,dropout_w12,0,1798,199,0,0.900350525788683,0.0,0.0,0.0,0.0996494742113169,0.0,0.900350525788683,0.4501752628943415,0.0,-0.0099649474211316,,,0,,,,,
medium,123,sensor_508_multivar_labeled,spike,0.75,z_w21_t3,9,1929,2,1,0.9984544049459042,0.8181818181818182,0.9,0.8571428571428572,0.0010357327809425,0.1,0.9989642672190576,0.9494821336095288,0.8573508231986252,0.7783379851634641,0.9884515794924909,0.7849620427881298,10,0.9,0.8181818181818182,0.0,0.0,0.9
medium,123,sensor_508_multivar_labeled,drift,0.75,slope_w36_t2.2,0,1735,0,206,0.8938691396187533,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.4940740326235975,0.1091462117585544,2,0.0,0.0,,,0.0
medium,123,sensor_508_multivar_labeled,flat,0.525,flat_std_w18,17,1865,25,34,0.9696032972694488,0.4047619047619047,0.3333333333333333,0.3655913978494623,0.0132275132275132,0.6666666666666666,0.9867724867724867,0.66005291005291,0.3519025655267763,0.3239076634237924,0.7582633053221289,0.2782585078014626,1,1.0,0.3333333333333333,0.0,0.0,1.0
medium,123,sensor_508_multivar_labeled,dropout,0.475,dropout_w12,28,1883,20,10,0.9845440494590416,0.5833333333333334,0.7368421052631579,0.6511627906976745,0.0105097214923804,0.2631578947368421,0.9894902785076196,0.8631661918853887,0.6479636968421475,0.6005249152436629,0.9234657189479216,0.6411063455270404,1,1.0,0.2,2.0,2.0,1.0
medium,123,sensor_509_multivar_labeled,spike,0.75,z_w21_t3,63,12772,0,10,0.9992214869599064,1.0,0.863013698630137,0.9264705882352942,0.0,0.136986301369863,1.0,0.9315068493150684,0.9286218389138404,0.8258158742949234,0.9722155485672854,0.8885053528168351,73,0.863013698630137,1.0,0.0,0.0,0.863013698630137
medium,123,sensor_509_multivar_labeled,drift,0.775,mean_shift_12_72,0,11298,6,1541,0.8795640326975477,0.0,0.0,0.0,0.0005307855626326,1.0,0.9994692144373672,0.4997346072186836,-0.0079816976168526,-5.307855626326964e-05,0.4958616120450089,0.1199785128590197,3,0.0,0.0,,,0.0
medium,123,sensor_509_multivar_labeled,flat,0.7999999999999999,flat_std_w18,0,11944,901,0,0.9298559750875828,0.0,0.0,0.0,0.0701440249124172,0.0,0.9298559750875828,0.4649279875437913,0.0,-0.0070144024912417,,,0,,,,,
medium,123,sensor_509_multivar_labeled,dropout,0.875,dropout_w24,478,11892,441,34,0.9630206305955624,0.5201305767138193,0.93359375,0.6680642907058001,0.0357577231817076,0.06640625,0.9642422768182924,0.9489180134091462,0.6814927124718835,0.6551508700065122,0.9733581270777588,0.5074170236603422,2,1.0,0.0363636363636363,6.0,6.0,1.0
